id_category,tm_created
art_and_design,2021-11-24T00:00:00Z
auto_and_vehicles,2021-11-24T00:00:00Z
beauty,2021-11-24T00:00:00Z
books_and_reference,2021-11-24T00:00:00Z
business,2021-11-24T00:00:00Z
comics,2021-11-24T00:00:00Z
communication,2021-11-24T00:00:00Z
dating,2021-11-24T00:00:00Z
education,2021-11-24T00:00:00Z
entertainment,2021-11-24T00:00:00Z
events,2021-11-24T00:00:00Z
finance,2021-11-24T00:00:00Z
food_and_drink,2021-11-24T00:00:00Z
health_and_fitness,2021-11-24T00:00:00Z
house_and_home,2021-11-24T00:00:00Z
libraries_and_demo,2021-11-24T00:00:00Z
lifestyle,2021-11-24T00:00:00Z
maps_and_navigation,2021-11-24T00:00:00Z
medical,2021-11-24T00:00:00Z
music_and_audio,2021-11-24T00:00:00Z
news_and_magazines,2021-11-24T00:00:00Z
parenting,2021-11-24T00:00:00Z
personalization,2021-11-24T00:00:00Z
photography,2021-11-24T00:00:00Z
productivity,2021-11-24T00:00:00Z
shopping,2021-11-24T00:00:00Z
social,2021-11-24T00:00:00Z
sports,2021-11-24T00:00:00Z
tools,2021-11-24T00:00:00Z
travel_and_local,2021-11-24T00:00:00Z
video_players,2021-11-24T00:00:00Z
weather,2021-11-24T00:00:00Z
game_action,2021-11-24T00:00:00Z
game_adventure,2021-11-24T00:00:00Z
game_arcade,2021-11-24T00:00:00Z
game_board,2021-11-24T00:00:00Z
game_card,2021-11-24T00:00:00Z
game_casino,2021-11-24T00:00:00Z
game_casual,2021-11-24T00:00:00Z
game_educational,2021-11-24T00:00:00Z
game_music,2021-11-24T00:00:00Z
game_puzzle,2021-11-24T00:00:00Z
game_racing,2021-11-24T00:00:00Z
game_role_playing,2021-11-24T00:00:00Z
game_simulation,2021-11-24T00:00:00Z
game_sports,2021-11-24T00:00:00Z
game_strategy,2021-11-24T00:00:00Z
game_trivia,2021-11-24T00:00:00Z
game_word,2021-11-24T00:00:00Z
